Tijd	Ch1	Ch2
Sec	mBar	mBar
0,000	1010,000	998,000
0,960	1010,000	959,000
1,960	949,000	925,000
2,960	917,000	895,000
3,961	887,000	866,000
4,961	859,000	839,000
5,961	833,000	814,000
6,961	808,000	789,000
7,961	784,000	766,000
8,961	762,000	744,000
9,960	741,000	724,000
10,961	720,000	704,000
11,961	701,000	685,000
12,961	682,000	667,000
13,961	665,000	650,000
14,960	648,000	634,000
15,961	632,000	618,000
16,960	616,000	602,000
17,961	601,000	588,000
18,960	586,000	573,000
19,961	572,000	559,000
20,960	559,000	546,000
21,961	545,000	533,000
22,962	532,000	520,000
23,960	519,000	508,000
24,961	507,000	496,000
25,960	495,000	484,000
26,960	484,000	473,000
27,961	472,000	461,000
28,960	461,000	450,000
29,962	450,000	440,000
30,960	440,000	429,000
31,961	429,000	419,000
32,961	419,000	410,000
33,961	410,000	400,000
34,960	400,000	391,000
35,960	391,000	382,000
36,961	382,000	373,000
37,961	373,000	364,000
38,961	364,000	355,000
39,960	356,000	347,000
40,961	347,000	339,000
41,962	339,000	331,000
42,961	331,000	323,000
43,961	324,000	315,000
44,961	316,000	308,000
45,961	308,000	301,000
46,961	301,000	294,000
47,960	294,000	287,000
48,961	287,000	280,000
49,961	281,000	273,000
50,961	274,000	267,000
51,961	267,000	260,000
52,961	261,000	254,000
53,961	255,000	248,000
54,960	249,000	242,000
55,960	243,000	236,000
56,961	237,000	231,000
57,960	232,000	225,000
58,961	226,000	220,000
59,960	221,000	215,000
60,961	215,000	209,000
61,961	210,000	204,000
62,961	205,000	199,000
63,961	200,000	195,000
64,961	196,000	190,000
65,961	191,000	185,000
66,961	186,000	181,000
67,961	182,000	176,000
68,961	177,000	172,000
69,961	173,000	168,000
70,961	169,000	164,000
71,961	165,000	160,000
72,961	161,000	156,000
73,961	157,000	152,000
74,961	153,000	148,000
75,961	149,000	145,000
76,961	146,000	141,000
77,961	142,000	138,000
78,961	139,000	134,000
79,961	135,000	131,000
80,961	132,000	128,000
81,961	129,000	125,000
82,962	126,000	122,000
83,961	123,000	118,000
84,961	120,000	116,000
85,960	117,000	113,000
86,961	114,000	110,000
87,961	111,000	107,000
88,961	108,000	104,000
89,961	105,000	102,000
90,962	103,000	99,000
91,961	100,000	97,000
92,961	98,000	94,000
93,962	95,000	92,000
94,961	93,000	90,000
95,960	91,000	87,000
96,961	88,000	85,000
97,962	86,000	83,000
98,961	84,000	81,000
99,961	82,000	79,000
100,961	80,000	77,000
101,960	78,000	75,000
102,961	76,000	73,000
103,961	74,000	71,000
104,962	72,000	69,000
105,961	70,000	67,000
106,961	69,000	66,000
107,961	67,000	64,000
108,961	65,000	62,000
109,962	64,000	61,000
110,961	62,000	59,000
111,961	60,000	58,000
112,961	59,000	56,000
113,961	57,000	55,000
114,962	56,000	53,000
115,961	55,000	52,000
116,962	53,000	51,000
117,962	52,000	49,000
118,961	51,000	48,000
119,961	49,000	47,000
120,961	48,000	46,000
121,961	47,000	44,000
122,961	46,000	43,000
123,962	44,000	42,000
124,961	43,000	41,000
125,962	42,000	40,000
126,961	41,000	39,000
127,961	40,000	38,000
128,961	39,000	37,000
129,961	38,000	36,000
130,962	37,000	35,000
131,961	36,000	34,000
132,961	35,000	33,000
133,962	35,000	32,000
134,961	34,000	32,000
135,961	33,000	31,000
136,961	32,000	30,000
137,961	31,000	29,000
138,961	30,000	28,000
139,962	30,000	28,000
140,962	29,000	27,000
141,961	28,000	26,000
142,961	28,000	26,000
143,961	27,000	25,000
144,961	26,000	24,000
145,961	26,000	24,000
146,962	25,000	23,000
147,963	24,000	22,000
148,961	24,000	22,000
149,961	23,000	21,000
150,961	23,000	21,000
151,962	22,000	20,000
152,962	22,000	20,000
153,961	21,000	19,000
154,962	21,000	19,000
155,961	20,000	18,000
156,961	20,000	18,000
157,962	19,000	17,000
158,961	19,000	17,000
159,962	18,000	16,000
160,961	18,000	16,000
161,961	17,000	16,000
162,962	17,000	15,000
163,961	17,000	15,000
164,962	16,000	14,000
165,961	16,000	14,000
166,962	15,000	14,000
167,961	15,000	13,000
168,961	15,000	13,000
169,961	14,000	13,000
170,961	14,000	12,000
171,962	14,000	12,000
172,962	13,000	12,000
173,961	13,000	11,000
174,961	13,000	11,000
175,962	13,000	11,000
176,961	12,000	11,000
177,962	12,000	10,000
178,962	12,000	10,000
179,961	11,000	10,000
180,961	11,000	10,000
181,961	11,000	9,000
182,961	11,000	9,000
183,961	10,000	9,000
184,962	10,000	9,000
185,962	10,000	8,000
186,961	10,000	8,000
187,961	10,000	8,000
188,961	9,000	8,000
189,961	9,000	8,000
190,962	9,000	7,000
191,961	9,000	7,000
192,961	9,000	7,000
193,961	9,000	7,000
194,961	8,000	7,000
195,963	8,000	7,000
196,962	8,000	6,000
197,961	8,000	6,000
198,961	8,000	6,000
199,962	8,000	6,000
200,961	7,000	6,000
201,962	7,000	6,000
202,961	7,000	6,000
203,961	7,000	5,000
204,961	7,000	5,000
205,962	7,000	5,000
206,961	7,000	5,000
207,961	7,000	5,000
208,961	6,000	5,000
209,961	6,000	5,000
210,962	6,000	5,000
211,961	6,000	5,000
212,961	6,000	4,000
213,962	6,000	4,000
214,963	6,000	4,000
215,962	6,000	4,000
216,961	6,000	4,000
217,961	5,000	4,000
218,961	5,000	4,000
219,961	5,000	4,000
220,961	5,000	4,000
221,961	5,000	4,000
222,963	5,000	4,000
223,961	5,000	4,000
224,961	5,000	3,000
225,961	5,000	3,000
226,961	5,000	3,000
227,961	5,000	3,000
228,961	5,000	3,000
229,961	5,000	3,000
230,961	5,000	3,000
231,961	4,000	3,000
232,961	4,000	3,000
233,962	4,000	3,000
234,962	4,000	3,000
235,961	4,000	3,000
236,961	4,000	3,000
237,962	4,000	3,000
238,961	4,000	3,000
239,962	4,000	3,000
240,962	4,000	3,000
241,961	4,000	2,000
242,962	4,000	2,000
243,963	4,000	2,000
244,962	4,000	2,000
245,962	4,000	2,000
246,961	4,000	2,000
247,962	4,000	2,000
248,961	4,000	2,000
249,962	4,000	2,000
250,961	4,000	2,000
251,962	4,000	2,000
252,961	3,000	2,000
253,961	3,000	2,000
254,962	3,000	2,000
255,961	3,000	2,000
256,962	3,000	2,000
257,962	3,000	2,000
258,961	3,000	2,000
259,961	3,000	2,000
260,961	3,000	2,000
261,961	3,000	2,000
262,962	3,000	2,000
263,962	3,000	2,000
264,962	3,000	2,000
265,962	3,000	2,000
266,962	3,000	2,000
267,962	3,000	2,000
268,961	3,000	2,000
269,961	3,000	2,000
270,961	3,000	2,000
271,962	3,000	2,000
272,963	3,000	2,000
273,962	3,000	2,000
274,962	3,000	2,000
275,962	3,000	2,000
276,962	3,000	2,000
277,962	3,000	1,000
278,961	3,000	1,000
279,962	3,000	1,000
280,962	3,000	1,000
281,962	3,000	1,000
282,961	3,000	1,000
283,963	3,000	1,000
284,961	3,000	1,000
285,962	3,000	1,000
286,962	3,000	1,000
287,961	3,000	1,000
288,961	3,000	1,000
289,961	3,000	1,000
290,962	3,000	1,000
291,961	3,000	1,000
292,961	3,000	1,000
293,962	3,000	1,000
294,961	3,000	1,000
295,961	3,000	1,000
296,961	3,000	1,000
297,962	3,000	1,000
298,962	3,000	1,000
299,962	3,000	1,000
300,961	3,000	1,000
301,961	3,000	1,000
302,962	3,000	1,000
303,962	3,000	1,000
304,963	3,000	1,000
305,962	3,000	1,000
306,961	3,000	1,000
307,962	3,000	1,000
308,961	3,000	1,000
309,962	3,000	1,000
310,962	3,000	1,000
311,961	3,000	1,000
312,962	3,000	1,000
313,962	3,000	1,000
314,963	3,000	1,000
315,961	3,000	1,000
316,961	3,000	1,000
