Tijd	Ch1	Ch2
Sec	mBar	mBar
0,000	1023,000	1010,000
0,635	1022,000	1010,000
1,636	1021,000	1009,000
2,635	1020,000	1008,000
3,636	560,000	1002,000
4,636	516,000	983,000
5,636	499,000	965,000
6,636	487,000	948,000
7,635	476,000	931,000
8,636	468,000	915,000
9,635	460,000	900,000
10,635	453,000	885,000
11,635	445,000	871,000
12,635	435,000	857,000
13,636	428,000	843,000
14,636	422,000	830,000
15,636	416,000	818,000
16,636	411,000	806,000
17,635	403,000	794,000
18,636	396,000	782,000
19,635	389,000	771,000
20,636	383,000	760,000
21,636	378,000	750,000
22,635	374,000	739,000
23,636	369,000	730,000
24,635	364,000	720,000
25,635	358,000	710,000
26,636	352,000	701,000
27,637	346,000	692,000
28,637	341,000	683,000
29,635	337,000	674,000
30,635	333,000	666,000
31,637	330,000	658,000
32,636	326,000	650,000
33,636	323,000	642,000
34,636	317,000	634,000
35,636	311,000	626,000
36,635	306,000	619,000
37,635	303,000	611,000
38,635	300,000	604,000
39,636	297,000	596,000
40,636	294,000	589,000
41,636	291,000	582,000
42,636	286,000	575,000
43,636	281,000	568,000
44,636	277,000	562,000
45,636	274,000	555,000
46,636	271,000	549,000
47,636	268,000	542,000
48,635	265,000	536,000
49,636	261,000	529,000
50,636	257,000	523,000
51,636	253,000	517,000
52,635	250,000	511,000
53,636	247,000	505,000
54,636	245,000	499,000
55,636	242,000	493,000
56,636	239,000	487,000
57,636	236,000	482,000
58,637	232,000	476,000
59,636	229,000	471,000
60,635	226,000	465,000
61,636	223,000	460,000
62,637	220,000	454,000
63,636	217,000	449,000
64,636	215,000	444,000
65,636	213,000	439,000
66,636	211,000	433,000
67,636	208,000	428,000
68,636	205,000	423,000
69,636	202,000	418,000
70,636	199,000	414,000
71,636	197,000	409,000
72,636	194,000	404,000
73,636	191,000	399,000
74,636	189,000	395,000
75,636	186,000	390,000
76,636	184,000	386,000
77,635	181,000	381,000
78,636	179,000	377,000
79,636	177,000	372,000
80,636	175,000	368,000
81,636	174,000	364,000
82,636	172,000	360,000
83,635	169,000	356,000
84,636	166,000	351,000
85,636	164,000	347,000
86,636	163,000	343,000
87,636	161,000	339,000
88,636	158,000	336,000
89,636	156,000	332,000
90,636	155,000	328,000
91,635	153,000	324,000
92,635	151,000	320,000
93,636	149,000	317,000
94,636	147,000	313,000
95,636	146,000	310,000
96,635	144,000	306,000
97,636	141,000	302,000
98,636	140,000	299,000
99,636	138,000	296,000
100,636	137,000	292,000
101,636	135,000	289,000
102,636	134,000	286,000
103,636	132,000	282,000
104,636	131,000	279,000
105,636	129,000	276,000
106,636	127,000	273,000
107,635	126,000	270,000
108,636	124,000	267,000
109,636	122,000	264,000
110,637	121,000	261,000
111,636	120,000	258,000
112,636	118,000	255,000
113,636	117,000	252,000
114,636	115,000	249,000
115,636	114,000	246,000
116,636	112,000	243,000
117,635	111,000	240,000
118,636	109,000	238,000
119,636	108,000	235,000
120,636	106,000	232,000
121,636	105,000	230,000
122,636	104,000	227,000
123,636	102,000	225,000
124,636	101,000	222,000
125,636	100,000	220,000
126,636	99,000	217,000
127,635	97,000	215,000
128,636	96,000	212,000
129,636	95,000	210,000
130,637	94,000	207,000
131,636	93,000	205,000
132,635	92,000	203,000
133,636	91,000	201,000
134,636	90,000	198,000
135,636	88,000	196,000
136,637	87,000	194,000
137,636	86,000	192,000
138,636	85,000	189,000
139,636	84,000	187,000
140,636	83,000	185,000
141,635	82,000	183,000
142,636	81,000	181,000
143,635	80,000	179,000
144,636	79,000	177,000
145,636	79,000	175,000
146,635	78,000	173,000
147,635	77,000	171,000
148,636	76,000	169,000
149,636	75,000	167,000
150,636	74,000	165,000
151,636	73,000	164,000
152,636	73,000	162,000
153,636	72,000	160,000
154,636	72,000	158,000
155,636	71,000	156,000
156,636	71,000	154,000
157,636	71,000	152,000
158,636	70,000	151,000
159,635	69,000	149,000
160,636	69,000	147,000
161,636	68,000	145,000
162,637	67,000	144,000
163,636	66,000	142,000
164,636	65,000	140,000
165,636	64,000	139,000
166,636	63,000	137,000
167,636	62,000	136,000
