Tijd	Ch1	Ch2
Sec	mBar	mBar
4,931	541,000	1009,000
5,930	521,000	991,000
6,930	508,000	974,000
7,931	496,000	957,000
8,930	487,000	941,000
9,930	480,000	926,000
10,930	473,000	910,000
11,931	464,000	896,000
12,931	454,000	881,000
13,930	445,000	868,000
14,932	439,000	854,000
15,931	432,000	841,000
16,931	426,000	829,000
17,931	419,000	817,000
18,931	411,000	805,000
19,931	404,000	794,000
20,930	398,000	783,000
21,930	393,000	772,000
22,930	388,000	762,000
23,931	384,000	752,000
24,931	377,000	742,000
25,930	370,000	732,000
26,931	365,000	723,000
27,931	360,000	714,000
28,930	356,000	705,000
29,931	352,000	696,000
30,931	348,000	687,000
31,931	342,000	679,000
32,931	336,000	670,000
33,931	332,000	662,000
34,931	328,000	654,000
35,931	324,000	646,000
36,932	321,000	638,000
37,931	317,000	631,000
38,931	312,000	623,000
39,931	307,000	616,000
40,930	302,000	608,000
41,931	299,000	601,000
42,931	296,000	594,000
43,931	293,000	587,000
44,931	290,000	580,000
45,930	285,000	573,000
46,931	280,000	566,000
47,930	276,000	560,000
48,932	273,000	553,000
49,931	270,000	547,000
50,931	267,000	540,000
51,931	264,000	534,000
52,931	261,000	528,000
53,930	257,000	521,000
54,931	253,000	515,000
55,931	249,000	509,000
56,931	246,000	503,000
57,930	243,000	497,000
58,930	240,000	491,000
59,931	237,000	486,000
60,930	235,000	480,000
61,930	232,000	474,000
62,931	230,000	469,000
63,931	226,000	463,000
64,931	223,000	458,000
65,931	219,000	453,000
66,930	216,000	447,000
67,931	214,000	442,000
68,931	212,000	437,000
69,930	210,000	432,000
70,931	207,000	427,000
71,931	204,000	422,000
72,931	201,000	417,000
73,931	199,000	412,000
74,931	196,000	408,000
75,931	194,000	403,000
76,931	191,000	398,000
77,931	189,000	394,000
78,931	187,000	389,000
79,932	184,000	385,000
80,931	181,000	380,000
81,931	179,000	376,000
82,932	177,000	371,000
83,930	175,000	367,000
84,931	172,000	363,000
85,932	170,000	359,000
86,932	167,000	355,000
87,930	166,000	350,000
88,932	164,000	346,000
89,930	162,000	342,000
90,932	161,000	339,000
91,930	158,000	335,000
92,931	156,000	331,000
93,931	154,000	327,000
94,931	152,000	323,000
95,931	150,000	319,000
96,930	148,000	316,000
97,931	147,000	312,000
98,931	145,000	309,000
99,931	143,000	305,000
100,930	141,000	302,000
101,931	139,000	298,000
102,931	137,000	295,000
103,931	136,000	291,000
104,931	134,000	288,000
105,931	133,000	285,000
106,931	131,000	282,000
107,931	129,000	278,000
108,931	127,000	275,000
109,931	126,000	272,000
110,931	124,000	269,000
111,931	123,000	266,000
112,931	121,000	263,000
113,931	120,000	260,000
114,931	119,000	257,000
115,931	117,000	254,000
116,931	116,000	251,000
117,932	115,000	248,000
118,932	113,000	245,000
119,931	112,000	242,000
120,932	111,000	240,000
121,931	109,000	237,000
122,932	108,000	234,000
123,931	106,000	232,000
124,931	105,000	229,000
125,932	104,000	226,000
126,930	102,000	224,000
127,931	101,000	221,000
128,932	100,000	219,000
129,930	99,000	216,000
130,931	97,000	214,000
131,931	96,000	212,000
132,931	95,000	209,000
133,931	94,000	207,000
134,931	93,000	205,000
135,931	91,000	202,000
136,932	90,000	200,000
137,931	89,000	198,000
138,931	88,000	196,000
139,931	87,000	193,000
140,931	86,000	191,000
141,931	85,000	189,000
142,931	84,000	187,000
143,932	83,000	185,000
144,931	82,000	183,000
145,931	81,000	181,000
146,931	80,000	179,000
147,931	79,000	177,000
148,930	78,000	175,000
149,931	77,000	173,000
150,931	77,000	171,000
151,931	76,000	169,000
152,931	75,000	167,000
153,931	74,000	165,000
154,932	73,000	163,000
155,931	72,000	161,000
156,930	72,000	159,000
157,932	72,000	158,000
158,933	71,000	156,000
159,931	71,000	154,000
160,931	71,000	152,000
161,931	70,000	150,000
162,932	69,000	148,000
163,931	68,000	147,000
164,931	68,000	145,000
165,932	67,000	143,000
166,931	66,000	142,000
167,931	65,000	140,000
168,932	64,000	138,000
169,932	63,000	137,000
170,931	62,000	135,000
171,931	61,000	134,000
172,931	60,000	132,000
173,931	59,000	131,000
174,931	58,000	129,000
175,931	57,000	128,000
176,931	57,000	126,000
177,931	56,000	125,000
178,932	55,000	124,000
179,931	54,000	122,000
180,931	53,000	121,000
181,931	53,000	120,000
182,932	52,000	118,000
183,932	51,000	117,000
184,932	50,000	116,000
185,932	50,000	115,000
186,931	49,000	113,000
187,931	48,000	112,000
188,931	48,000	111,000
189,932	47,000	110,000
190,931	46,000	109,000
191,932	46,000	107,000
192,932	45,000	106,000
193,932	44,000	105,000
194,933	44,000	104,000
195,932	43,000	103,000
196,931	43,000	102,000
197,931	42,000	101,000
198,932	41,000	100,000
199,931	41,000	99,000
200,931	40,000	98,000
201,931	40,000	97,000
202,932	39,000	96,000
203,932	39,000	95,000
204,931	38,000	94,000
205,931	38,000	93,000
206,931	37,000	92,000
207,932	37,000	91,000
208,931	36,000	90,000
209,931	36,000	90,000
210,932	35,000	89,000
211,932	35,000	88,000
212,931	34,000	87,000
213,932	34,000	86,000
214,932	33,000	85,000
215,932	33,000	85,000
216,932	32,000	84,000
217,932	32,000	83,000
218,931	32,000	82,000
219,931	31,000	81,000
220,931	31,000	81,000
221,932	30,000	80,000
222,931	30,000	79,000
223,931	30,000	78,000
224,931	29,000	78,000
225,931	29,000	77,000
226,931	28,000	76,000
227,931	28,000	76,000
228,931	28,000	75,000
229,931	27,000	74,000
230,931	27,000	74,000
231,931	27,000	73,000
232,931	26,000	72,000
233,931	26,000	72,000
234,932	26,000	71,000
235,932	25,000	70,000
236,931	25,000	70,000
237,932	25,000	69,000
238,931	25,000	69,000
